| Model               | Accuracy | Precision | Recall | F1 Score |
| ------------------- | -------- | --------- | ------ | -------- |
| Decision Tree       | 0.7507   | 0.7468    | 0.7507 | 0.7470   |
| Random Forest       | 0.7742   | 0.7740    | 0.7742 | 0.7640   |
| SVM                 | 0.7704   | 0.7853    | 0.7704 | 0.7430   |
| Logistic Regression | 0.7689   | 0.7785    | 0.7689 | 0.7431   |
| K-Nearest Neighbors | 0.7589   | 0.7560    | 0.7589 | 0.7542   |
| Gradient Boosting   | 0.0032   | 0.0224    | 0.0032 | 0.0048   |
| AdaBoost            | 0.4832   | 0.3777    | 0.4832 | 0.3958   |
| XGBoost             | 0.7824   | 0.7875    | 0.7824 | 0.7694   |
| CatBoost            | 0.7759   | 0.7856    | 0.7759 | 0.7542   |
| LightGBM            | 0.3575   | 0.3546    | 0.3575 | 0.3116   |
