Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,Attack_cat
93.2,6,64,2396.080304665307,2396.080304665307,0,0,0,0,0.2,1,0,0,0,0,0,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,398.2,69.7,85,75.03718253968255,6.775620394319303,69.7,169323394.5045233,5.5,12.242640668165125,9.582174255138096,56.871123000125976,0.9,38.5,
293.1,8.2,64,24.25917602225577,24.25917602225577,0,0.1,0,0,0.7,0.8,0,0,0.1,0,0,2,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,2129.2,66,859.1,136.6474695325315,193.6674928261201,195.6,169323394.6787158,13.5,16.489556002978492,274.56842720645926,40493.40157700759,1,244.6,
202.6,6,64,1310.053558,1310.053558,0,0,0,0,0.3,1,0,0,0,0,0,2.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,429,72.6,110,83.35119047619047,14.220379631741212,74.8,3.9577484130859375e-05,5.5,12.88209142995213,20.11065373730254,228.7834937641723,0.9,38.5,
2475.4,6,64,6566.048075243928,6566.048075243928,0,0,0,0,0.1,1,0,0,0.1,0,0,3.7,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,1,3385.3,66,831,195.0660977906682,265.26222042744484,798.9,169323394.71743125,13.5,18.388539099627668,370.1109869785749,127364.45852420278,1,244.6,
13545,6,156,4459.301335410252,4459.301335410252,0,0,0,0,0,1,0,0,0,0,0,10.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6075,780,1494,1240.9833333333331,329.2195253477256,780,0.001274896,5.5,49.477478321350674,465.5867177447866,219061.1972222222,0.5,38.5,
17775,6,156,1234.0910032355364,1234.0910032355364,0,0,0,0,0,1,0,0,0,0,0,20.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,10305,66,1494,658.7909397619925,699.7898742262246,780,169323394.6570953,13.5,36.14725367253974,989.5123795950618,489732.05281606567,1,244.6,
31287,6,64,1507.4054156322368,1507.4054156322368,0,0,0,0,0,1,0,0,0,0,0,30.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8217,1494,1494,1494,0,1494,2.7680397033691405e-05,5.5,54.66260147,0,0,0,38.5,
44085,6,156,1595.930370086778,1595.930370086778,0,0,0,0,0,1,0,0,0,0,0,40.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,21015,780,1494,1378.7118421052633,253.8447578,780,169323394.6588546,13.5,52.56436348067376,353.8752641,129222.85344529086,0.5,244.6,
46601.4,6,211.2,1466.4797354843554,1466.4797354843554,0,0,0,0,0,1,0,0,0,0,0,50.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,791.4,66,351.6,110.42666666666666,101.99771037930624,351.6,0.000616193,5.5,13.96284049424022,144.2465453494179,52767.03288888889,0.2,38.5,
57543,6,64,1567.737472972016,1567.737472972016,0,0,0,0,0,1,0,0,0,0,0,60.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,11733,66,1494,729.9955490123912,696.3918997,1494,169323394.65840268,13.5,37.92896135856763,985.6203418559966,486269.0619612088,1,244.6,
72483,6,64,1785.3062255273867,1785.3062255273867,0,0,0,0,0,1,0,0,0,0,0,70.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,8217,1494,1494,1494,0,1494,9.059906005859376e-05,5.5,54.66260147,0,0,0,38.5,
87423,6,64,2004.275080904768,2004.275080904768,0,0,0,0,0,1,0,0,0,0,0,80.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,23157,1494,1494,1494,0,1494,169323394.65853012,13.5,54.66260147,0,0,0,244.6,
101934.6,6,100.8,2135.252921443735,2135.252921443735,0,0,0,0,0,1,0,0,0,0,0,90.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,7788.6,1208.4,1494,1449.5733333333333,101.99771037930624,1208.4,0.001052403,5.5,53.81402652,144.24654534941786,52767.03288888889,0.2,38.5,
106593,6,248,1936.652701060129,1936.652701060129,0,0,0,0,0,1,0,0,0,0,0,100.5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,12447,66,1494,830.0044509876088,696.3918997,66,169323394.65994057,13.5,40.66883007480585,985.6203418559966,486269.0619612088,1,244.6,
