Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,Attack_cat
114.6,5.9,51.2,30655.032896090102,30655.032896090102,0,0,0,0,0.5,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,0.1,0,0.2,0,0,0.8,0.8,568,42,181.4,95.15142857142855,54.90985112326847,99.6,169410360.08896402,5.5,13.639578806660245,77.65425616641377,3685.081162,0.9,38.5,
129,6,64,90366.61812863432,90366.61812863432,0,0,0,0,0.5,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1438.2,42,214,93.12193319236664,49.31935948532704,81.2,169410360.0891449,13.5,13.647331118915664,69.90882409,2457.3501588297254,1,244.6,
321.1,7.1,100.6,13324.032212847253,13324.032212847253,0,0,0,0,0.4,0.9,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,1,1,617.2,63.6,187.5,102.2354365079365,48.063324369721485,119.4,0.088322496,5.5,14.179865179762691,67.97180518,3322.481708412068,0.7,38.5,
292.6,6,80.8,3.897623729966417,3.897623729966417,0,0,0,0,0.6,1,0,0,0,0,0,3.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1693.4,54,246,110.22515908025584,59.841524383252064,87.5,169410360.2007777,13.5,14.84983919586958,84.80360939934371,3609.775298483319,1,244.6,
483.6,7.1,69.9,8.191751239408674,8.191751239408674,0,0,0,0,0.4,0.9,0,0,0,0,0,4.1,0,0.3,0,0,0,0,0,0.9,0.1,0,0,0,0,1,1,913.8,66,590.4,144.38908730158732,180.17974585667912,160.9,0.082188797,5.5,16.531551148852373,254.81264025545312,53155.72948108781,0.9,38.5,
438.9,6,64,16779.935836932746,16779.935836932746,0,0,0,0,0.6,1,0,0,0,0,0,4.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2280.1,66,931,149.45598256920238,215.63358371418548,104.5,169410360.3071023,13.5,17.287598650849333,305.6093122018356,47018.73501511658,1,244.6,
679.3,6,64,2386.1616012317136,2386.1616012317136,0,0,0,0,0.4,1,0,0,0,0,0,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,403.8,66,82.9,72.96055555555554,8.130666142067444,73.4,0.077912188,5.5,12.077833850150707,11.498498329239512,73.50744665,0.9,38.5,
539.1,6,64,13317.728580550249,13317.728580550249,0,0,0,0,0.6,1,0,0,0,0,0,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1287.4,66,211,83.33874361878233,35.13898323546876,89.5,169410360.4109357,13.5,12.909160826252728,49.80768959215697,1248.6128413558986,1,244.6,
352.8,6,64,54709.67959584082,54709.67959584082,0,0,0,0,0.5,1,0,0,0,0,0,4.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,432.6,66,101.3,77.10607142857143,13.329540068219549,79.6,1.02996826171875e-05,5.5,12.412682362355152,18.85081634467168,206.3903932823129,0.9,38.5,
563.5,4.8,70.3,7426.57568,7426.57568,0,0,0,0.1,0.2,0.8,0,0,0,0,0.1,5.6,0,0,0,0,0,0.1,0,0.8,0,0,0.2,0,0,0.8,0.8,1206.1,63.6,111,78.02932350114627,15.559555095637164,70.3,169410360.53746647,13.5,12.500677550078644,21.95812535223252,241.4905454041123,1,244.6,
54,6,255,4.647644544122828,4.647644544122828,0,0,0,1,0,1,0,0,0,0,1,1,0,0.1,0,0,0.1,0,0,1,0,0,0,0,0,1,1,297,54,54,54,0,54,0.001808405,5.5,10.392304845413264,0,0,0,38.5,
54,6,255,4.647644544122828,4.647644544122828,0,0,0,1,0,1,0,0,0,0,1,1,0.1,0,0,0,0,0,0.1,1,0,0,0,0,0,1,1,837,54,54,54,0,54,169410360.5,13.5,10.392304845413264,0,0,0,244.6,
236.6,6,235.9,4.288932707955827,4.288932707955827,0,0,0,0.9,0.1,1,0,0,0,0,0.9,2.6,0,0,0,0.1,0,0,0,1,0,0,0,0,0,1,1,324,54,81,59.78690476190476,10.41603275836658,57,0.002574897,5.5,10.929036969829728,14.730494793004455,124.1280470521542,0.9,38.5,
54,6,255,4.249075837270604,4.249075837270604,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,867,54,84,56.00631420952628,7.454929709926853,54,169410360.4687616,13.5,10.584287638831167,10.565569022923963,56.22636476464385,1,244.6,
54,6,255,4.249075837270604,4.249075837270604,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,297,54,54,54,0,54,0.004899001,5.5,10.392304845413264,0,0,0,38.5,
54,6,255,4.249075837270604,4.249075837270604,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,837,54,54,54,0,54,169410360.4740238,13.5,10.392304845413264,0,0,0,244.6,
264.1,6,235.9,4.357181970870849,4.357181970870849,0,0,0,0.9,0.1,1,0,0,0,0,0.9,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,429.6,54,186.6,72.68853174603174,45.693820698667295,76.1,0.000138307,5.5,11.979229939827896,64.62082094869974,3514.003967860292,0.6,38.5,
54,6,255,4.429252726604345,4.429252726604345,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1058,54,275,68.77984801017695,54.91798219646115,54,169410360.4786297,13.5,11.73116520025528,77.83302513553987,3051.279868299968,1,244.6,
